#det	t	x	dt	dx
D0U	1820	0	10.4	0.03
D0U	1818	0	10.4	0.03
D0U	1814	4.42194e-05	10.4	0.03
D0U	1810	0.000373408	10.4	0.03
D0U	1806	0.00299218	10.4	0.03
D0U	1802	0.00958086	10.4	0.03
D0U	1798	0.0184395	10.4	0.03
D0U	1794	0.0282267	10.4	0.03
D0U	1790	0.038574	10.4	0.03
D0U	1786	0.0499188	10.4	0.03
D0U	1782	0.0637054	10.4	0.03
D0U	1778	0.0791478	10.4	0.03
D0U	1774	0.0974497	10.4	0.03
D0U	1770	0.117908	10.4	0.03
D0U	1766	0.140947	10.4	0.03
D0U	1762	0.166496	10.4	0.03
D0U	1758	0.195509	10.4	0.03
D0U	1754	0.224914	10.4	0.03
D0U	1750	0.251397	10.4	0.03
D0U	1746	0.272745	10.4	0.03
D0U	1742	0.288168	10.4	0.03
D0U	1738	0.297935	10.4	0.03
D0U	1734	0.304406	10.4	0.03
D0U	1730	0.30844	10.4	0.03
D0U	1726	0.311299	10.4	0.03
D0U	1722	0.313417	10.4	0.03
D0U	1718	0.315024	10.4	0.03
D0U	1714	0.316095	10.4	0.03
D0U	1710	0.316812	10.4	0.03
D0U	1706	0.31724	10.4	0.03
D0U	1702	0.3175	10.4	0.03
D0U	1700	0.3175	10.4	0.03
D0Up	1820	0	10.4	0.03
D0Up	1818	0	10.4	0.03
D0Up	1814	6.68341e-05	10.4	0.03
D0Up	1810	0.000701758	10.4	0.03
D0Up	1806	0.00497914	10.4	0.03
D0Up	1802	0.0143216	10.4	0.03
D0Up	1798	0.0254256	10.4	0.03
D0Up	1794	0.0364771	10.4	0.03
D0Up	1790	0.0483258	10.4	0.03
D0Up	1786	0.0611388	10.4	0.03
D0Up	1782	0.0757516	10.4	0.03
D0Up	1778	0.0920353	10.4	0.03
D0Up	1774	0.110725	10.4	0.03
D0Up	1770	0.131496	10.4	0.03
D0Up	1766	0.154668	10.4	0.03
D0Up	1762	0.180452	10.4	0.03
D0Up	1758	0.207548	10.4	0.03
D0Up	1754	0.235571	10.4	0.03
D0Up	1750	0.260634	10.4	0.03
D0Up	1746	0.280818	10.4	0.03
D0Up	1742	0.294084	10.4	0.03
D0Up	1738	0.302811	10.4	0.03
D0Up	1734	0.308019	10.4	0.03
D0Up	1730	0.311447	10.4	0.03
D0Up	1726	0.313667	10.4	0.03
D0Up	1722	0.315361	10.4	0.03
D0Up	1718	0.316278	10.4	0.03
D0Up	1714	0.316827	10.4	0.03
D0Up	1710	0.31718	10.4	0.03
D0Up	1706	0.317342	10.4	0.03
D0Up	1702	0.3175	10.4	0.03
D0Up	1700	0.3175	10.4	0.03
D0X	1820	0	10.4	0.03
D0X	1818	0	10.4	0.03
D0X	1814	9.06107e-05	10.4	0.03
D0X	1810	0.000739193	10.4	0.03
D0X	1806	0.00614722	10.4	0.03
D0X	1802	0.0179075	10.4	0.03
D0X	1798	0.0314801	10.4	0.03
D0X	1794	0.0461686	10.4	0.03
D0X	1790	0.0626406	10.4	0.03
D0X	1786	0.0816069	10.4	0.03
D0X	1782	0.102958	10.4	0.03
D0X	1778	0.126993	10.4	0.03
D0X	1774	0.152388	10.4	0.03
D0X	1770	0.178928	10.4	0.03
D0X	1766	0.206473	10.4	0.03
D0X	1762	0.234419	10.4	0.03
D0X	1758	0.260258	10.4	0.03
D0X	1754	0.281065	10.4	0.03
D0X	1750	0.295324	10.4	0.03
D0X	1746	0.30428	10.4	0.03
D0X	1742	0.309607	10.4	0.03
D0X	1738	0.312736	10.4	0.03
D0X	1734	0.314686	10.4	0.03
D0X	1730	0.315912	10.4	0.03
D0X	1726	0.316646	10.4	0.03
D0X	1722	0.31699	10.4	0.03
D0X	1718	0.3172	10.4	0.03
D0X	1714	0.317328	10.4	0.03
D0X	1710	0.31739	10.4	0.03
D0X	1706	0.317457	10.4	0.03
D0X	1702	0.3175	10.4	0.03
D0X	1700	0.3175	10.4	0.03
D0Xp	1820	0	10.4	0.03
D0Xp	1818	2.62592e-05	10.4	0.03
D0Xp	1814	0.000131296	10.4	0.03
D0Xp	1810	0.00031511	10.4	0.03
D0Xp	1806	0.00120792	10.4	0.03
D0Xp	1802	0.00535688	10.4	0.03
D0Xp	1798	0.0127357	10.4	0.03
D0Xp	1794	0.0205084	10.4	0.03
D0Xp	1790	0.029988	10.4	0.03
D0Xp	1786	0.0413582	10.4	0.03
D0Xp	1782	0.0538576	10.4	0.03
D0Xp	1778	0.0701646	10.4	0.03
D0Xp	1774	0.0876795	10.4	0.03
D0Xp	1770	0.110866	10.4	0.03
D0Xp	1766	0.135314	10.4	0.03
D0Xp	1762	0.160076	10.4	0.03
D0Xp	1758	0.188856	10.4	0.03
D0Xp	1754	0.219816	10.4	0.03
D0Xp	1750	0.249725	10.4	0.03
D0Xp	1746	0.275065	10.4	0.03
D0Xp	1742	0.294497	10.4	0.03
D0Xp	1738	0.30592	10.4	0.03
D0Xp	1734	0.312353	10.4	0.03
D0Xp	1730	0.315268	10.4	0.03
D0Xp	1726	0.316607	10.4	0.03
D0Xp	1722	0.317132	10.4	0.03
D0Xp	1718	0.317395	10.4	0.03
D0Xp	1714	0.317395	10.4	0.03
D0Xp	1710	0.317447	10.4	0.03
D0Xp	1706	0.317474	10.4	0.03
D0Xp	1702	0.3175	10.4	0.03
D0Xp	1700	0.3175	10.4	0.03
D0V	1820	0	10.4	0.03
D0V	1818	0	10.4	0.03
D0V	1814	4.87045e-05	10.4	0.03
D0V	1810	0.000457823	10.4	0.03
D0V	1806	0.00422755	10.4	0.03
D0V	1802	0.0150546	10.4	0.03
D0V	1798	0.0279515	10.4	0.03
D0V	1794	0.041204	10.4	0.03
D0V	1790	0.055002	10.4	0.03
D0V	1786	0.0701394	10.4	0.03
D0V	1782	0.0868304	10.4	0.03
D0V	1778	0.105138	10.4	0.03
D0V	1774	0.12518	10.4	0.03
D0V	1770	0.147058	10.4	0.03
D0V	1766	0.170446	10.4	0.03
D0V	1762	0.195875	10.4	0.03
D0V	1758	0.221912	10.4	0.03
D0V	1754	0.246937	10.4	0.03
D0V	1750	0.269146	10.4	0.03
D0V	1746	0.286227	10.4	0.03
D0V	1742	0.297711	10.4	0.03
D0V	1738	0.304837	10.4	0.03
D0V	1734	0.30923	10.4	0.03
D0V	1730	0.311845	10.4	0.03
D0V	1726	0.313745	10.4	0.03
D0V	1722	0.315118	10.4	0.03
D0V	1718	0.315951	10.4	0.03
D0V	1714	0.316536	10.4	0.03
D0V	1710	0.31695	10.4	0.03
D0V	1706	0.317295	10.4	0.03
D0V	1702	0.3175	10.4	0.03
D0V	1700	0.3175	10.4	0.03
D0Vp	1820	0	10.4	0.03
D0Vp	1818	0	10.4	0.03
D0Vp	1814	9.12425e-05	10.4	0.03
D0Vp	1810	0.0012822	10.4	0.03
D0Vp	1806	0.0112084	10.4	0.03
D0Vp	1802	0.025644	10.4	0.03
D0Vp	1798	0.0385716	10.4	0.03
D0Vp	1794	0.0517489	10.4	0.03
D0Vp	1790	0.0652768	10.4	0.03
D0Vp	1786	0.0801302	10.4	0.03
D0Vp	1782	0.0964578	10.4	0.03
D0Vp	1778	0.11377	10.4	0.03
D0Vp	1774	0.132388	10.4	0.03
D0Vp	1770	0.151554	10.4	0.03
D0Vp	1766	0.171594	10.4	0.03
D0Vp	1762	0.192046	10.4	0.03
D0Vp	1758	0.213152	10.4	0.03
D0Vp	1754	0.234911	10.4	0.03
D0Vp	1750	0.256723	10.4	0.03
D0Vp	1746	0.277617	10.4	0.03
D0Vp	1742	0.292696	10.4	0.03
D0Vp	1738	0.302911	10.4	0.03
D0Vp	1734	0.309399	10.4	0.03
D0Vp	1730	0.312938	10.4	0.03
D0Vp	1726	0.315046	10.4	0.03
D0Vp	1722	0.316338	10.4	0.03
D0Vp	1718	0.31689	10.4	0.03
D0Vp	1714	0.317164	10.4	0.03
D0Vp	1710	0.317308	10.4	0.03
D0Vp	1706	0.317418	10.4	0.03
D0Vp	1702	0.3175	10.4	0.03
D0Vp	1700	0.3175	10.4	0.03
D1V	1800.0	0.000000	16	0.04
D1V	1797.5	0.001100	16	0.04
D1V	1795.0	0.002400	16	0.04
D1V	1792.5	0.004700	16	0.04
D1V	1790.0	0.007100	16	0.04
D1V	1787.5	0.009500	16	0.04
D1V	1785.0	0.016600	16	0.04
D1V	1782.5	0.025000	16	0.04
D1V	1780.0	0.033500	16	0.04
D1V	1777.5	0.049000	16	0.04
D1V	1775.0	0.064500	16	0.04
D1V	1772.5	0.081400	16	0.04
D1V	1770.0	0.102500	16	0.04
D1V	1767.5	0.117200	16	0.04
D1V	1765.0	0.137500	16	0.04
D1V	1762.5	0.156200	16	0.04
D1V	1760.0	0.169400	16	0.04
D1V	1757.5	0.181800	16	0.04
D1V	1755.0	0.194900	16	0.04
D1V	1752.5	0.204700	16	0.04
D1V	1750.0	0.212900	16	0.04
D1V	1747.5	0.219400	16	0.04
D1V	1745.0	0.224400	16	0.04
D1V	1742.5	0.229700	16	0.04
D1V	1740.0	0.234500	16	0.04
D1V	1737.5	0.236000	16	0.04
D1V	1735.0	0.238100	16	0.04
D1V	1732.5	0.238900	16	0.04
D1V	1730.0	0.240500	16	0.04
D1V	1727.5	0.241800	16	0.04
D1V	1725.0	0.243200	16	0.04
D1V	1722.5	0.243900	16	0.04
D1V	1720.0	0.244500	16	0.04
D1V	1717.5	0.246000	16	0.04
D1V	1715.0	0.247100	16	0.04
D1V	1712.5	0.247100	16	0.04
D1V	1710.0	0.247400	16	0.04
D1V	1707.5	0.248200	16	0.04
D1V	1705.0	0.248900	16	0.04
D1V	1702.5	0.249700	16	0.04
D1V	1700.0	0.250000	16	0.04
D1Vp	1800.0	0.000000	16	0.04
D1Vp	1797.5	0.001100	16	0.04
D1Vp	1795.0	0.002400	16	0.04
D1Vp	1792.5	0.004700	16	0.04
D1Vp	1790.0	0.007100	16	0.04
D1Vp	1787.5	0.009500	16	0.04
D1Vp	1785.0	0.016600	16	0.04
D1Vp	1782.5	0.025000	16	0.04
D1Vp	1780.0	0.033500	16	0.04
D1Vp	1777.5	0.049000	16	0.04
D1Vp	1775.0	0.064500	16	0.04
D1Vp	1772.5	0.081400	16	0.04
D1Vp	1770.0	0.102500	16	0.04
D1Vp	1767.5	0.117200	16	0.04
D1Vp	1765.0	0.137500	16	0.04
D1Vp	1762.5	0.156200	16	0.04
D1Vp	1760.0	0.169400	16	0.04
D1Vp	1757.5	0.181800	16	0.04
D1Vp	1755.0	0.194900	16	0.04
D1Vp	1752.5	0.204700	16	0.04
D1Vp	1750.0	0.212900	16	0.04
D1Vp	1747.5	0.219400	16	0.04
D1Vp	1745.0	0.224400	16	0.04
D1Vp	1742.5	0.229700	16	0.04
D1Vp	1740.0	0.234500	16	0.04
D1Vp	1737.5	0.236000	16	0.04
D1Vp	1735.0	0.238100	16	0.04
D1Vp	1732.5	0.238900	16	0.04
D1Vp	1730.0	0.240500	16	0.04
D1Vp	1727.5	0.241800	16	0.04
D1Vp	1725.0	0.243200	16	0.04
D1Vp	1722.5	0.243900	16	0.04
D1Vp	1720.0	0.244500	16	0.04
D1Vp	1717.5	0.246000	16	0.04
D1Vp	1715.0	0.247100	16	0.04
D1Vp	1712.5	0.247100	16	0.04
D1Vp	1710.0	0.247400	16	0.04
D1Vp	1707.5	0.248200	16	0.04
D1Vp	1705.0	0.248900	16	0.04
D1Vp	1702.5	0.249700	16	0.04
D1Vp	1700.0	0.250000	16	0.04
D1X	1800.0	0.000000	16	0.04
D1X	1797.5	0.000500	16	0.04
D1X	1795.0	0.001300	16	0.04
D1X	1792.5	0.003200	16	0.04
D1X	1790.0	0.005000	16	0.04
D1X	1787.5	0.009000	16	0.04
D1X	1785.0	0.015300	16	0.04
D1X	1782.5	0.025100	16	0.04
D1X	1780.0	0.034300	16	0.04
D1X	1777.5	0.047500	16	0.04
D1X	1775.0	0.065100	16	0.04
D1X	1772.5	0.077300	16	0.04
D1X	1770.0	0.097800	16	0.04
D1X	1767.5	0.113900	16	0.04
D1X	1765.0	0.136300	16	0.04
D1X	1762.5	0.156100	16	0.04
D1X	1760.0	0.170600	16	0.04
D1X	1757.5	0.185100	16	0.04
D1X	1755.0	0.198000	16	0.04
D1X	1752.5	0.207500	16	0.04
D1X	1750.0	0.216800	16	0.04
D1X	1747.5	0.222300	16	0.04
D1X	1745.0	0.228100	16	0.04
D1X	1742.5	0.233100	16	0.04
D1X	1740.0	0.235800	16	0.04
D1X	1737.5	0.238400	16	0.04
D1X	1735.0	0.240200	16	0.04
D1X	1732.5	0.242100	16	0.04
D1X	1730.0	0.243400	16	0.04
D1X	1727.5	0.244200	16	0.04
D1X	1725.0	0.245000	16	0.04
D1X	1722.5	0.246300	16	0.04
D1X	1720.0	0.247100	16	0.04
D1X	1717.5	0.248200	16	0.04
D1X	1715.0	0.248400	16	0.04
D1X	1712.5	0.249200	16	0.04
D1X	1710.0	0.249500	16	0.04
D1X	1707.5	0.249700	16	0.04
D1X	1705.0	0.249700	16	0.04
D1X	1702.5	0.249700	16	0.04
D1X	1700.0	0.250000	16	0.04
D1Xp	1800.0	0.000000	16	0.04
D1Xp	1797.5	0.000500	16	0.04
D1Xp	1795.0	0.001300	16	0.04
D1Xp	1792.5	0.003200	16	0.04
D1Xp	1790.0	0.005000	16	0.04
D1Xp	1787.5	0.009000	16	0.04
D1Xp	1785.0	0.015300	16	0.04
D1Xp	1782.5	0.025100	16	0.04
D1Xp	1780.0	0.034300	16	0.04
D1Xp	1777.5	0.047500	16	0.04
D1Xp	1775.0	0.065100	16	0.04
D1Xp	1772.5	0.077300	16	0.04
D1Xp	1770.0	0.097800	16	0.04
D1Xp	1767.5	0.113900	16	0.04
D1Xp	1765.0	0.136300	16	0.04
D1Xp	1762.5	0.156100	16	0.04
D1Xp	1760.0	0.170600	16	0.04
D1Xp	1757.5	0.185100	16	0.04
D1Xp	1755.0	0.198000	16	0.04
D1Xp	1752.5	0.207500	16	0.04
D1Xp	1750.0	0.216800	16	0.04
D1Xp	1747.5	0.222300	16	0.04
D1Xp	1745.0	0.228100	16	0.04
D1Xp	1742.5	0.233100	16	0.04
D1Xp	1740.0	0.235800	16	0.04
D1Xp	1737.5	0.238400	16	0.04
D1Xp	1735.0	0.240200	16	0.04
D1Xp	1732.5	0.242100	16	0.04
D1Xp	1730.0	0.243400	16	0.04
D1Xp	1727.5	0.244200	16	0.04
D1Xp	1725.0	0.245000	16	0.04
D1Xp	1722.5	0.246300	16	0.04
D1Xp	1720.0	0.247100	16	0.04
D1Xp	1717.5	0.248200	16	0.04
D1Xp	1715.0	0.248400	16	0.04
D1Xp	1712.5	0.249200	16	0.04
D1Xp	1710.0	0.249500	16	0.04
D1Xp	1707.5	0.249700	16	0.04
D1Xp	1705.0	0.249700	16	0.04
D1Xp	1702.5	0.249700	16	0.04
D1Xp	1700.0	0.250000	16	0.04
D1U	1800.0	0.000000	16	0.04
D1U	1797.5	0.000800	16	0.04
D1U	1795.0	0.003700	16	0.04
D1U	1792.5	0.005000	16	0.04
D1U	1790.0	0.008200	16	0.04
D1U	1787.5	0.013400	16	0.04
D1U	1785.0	0.020300	16	0.04
D1U	1782.5	0.032200	16	0.04
D1U	1780.0	0.044800	16	0.04
D1U	1777.5	0.061700	16	0.04
D1U	1775.0	0.081000	16	0.04
D1U	1772.5	0.097800	16	0.04
D1U	1770.0	0.118700	16	0.04
D1U	1767.5	0.131900	16	0.04
D1U	1765.0	0.154000	16	0.04
D1U	1762.5	0.171700	16	0.04
D1U	1760.0	0.183000	16	0.04
D1U	1757.5	0.193800	16	0.04
D1U	1755.0	0.202800	16	0.04
D1U	1752.5	0.210200	16	0.04
D1U	1750.0	0.217000	16	0.04
D1U	1747.5	0.222300	16	0.04
D1U	1745.0	0.229200	16	0.04
D1U	1742.5	0.232600	16	0.04
D1U	1740.0	0.233900	16	0.04
D1U	1737.5	0.237100	16	0.04
D1U	1735.0	0.238700	16	0.04
D1U	1732.5	0.241000	16	0.04
D1U	1730.0	0.241600	16	0.04
D1U	1727.5	0.242100	16	0.04
D1U	1725.0	0.244700	16	0.04
D1U	1722.5	0.245800	16	0.04
D1U	1720.0	0.246300	16	0.04
D1U	1717.5	0.246800	16	0.04
D1U	1715.0	0.247400	16	0.04
D1U	1712.5	0.247900	16	0.04
D1U	1710.0	0.247900	16	0.04
D1U	1707.5	0.248200	16	0.04
D1U	1705.0	0.248900	16	0.04
D1U	1702.5	0.249700	16	0.04
D1U	1700.0	0.250000	16	0.04
D1Up	1800.0	0.000000	16	0.04
D1Up	1797.5	0.000800	16	0.04
D1Up	1795.0	0.003700	16	0.04
D1Up	1792.5	0.005000	16	0.04
D1Up	1790.0	0.008200	16	0.04
D1Up	1787.5	0.013400	16	0.04
D1Up	1785.0	0.020300	16	0.04
D1Up	1782.5	0.032200	16	0.04
D1Up	1780.0	0.044800	16	0.04
D1Up	1777.5	0.061700	16	0.04
D1Up	1775.0	0.081000	16	0.04
D1Up	1772.5	0.097800	16	0.04
D1Up	1770.0	0.118700	16	0.04
D1Up	1767.5	0.131900	16	0.04
D1Up	1765.0	0.154000	16	0.04
D1Up	1762.5	0.171700	16	0.04
D1Up	1760.0	0.183000	16	0.04
D1Up	1757.5	0.193800	16	0.04
D1Up	1755.0	0.202800	16	0.04
D1Up	1752.5	0.210200	16	0.04
D1Up	1750.0	0.217000	16	0.04
D1Up	1747.5	0.222300	16	0.04
D1Up	1745.0	0.229200	16	0.04
D1Up	1742.5	0.232600	16	0.04
D1Up	1740.0	0.233900	16	0.04
D1Up	1737.5	0.237100	16	0.04
D1Up	1735.0	0.238700	16	0.04
D1Up	1732.5	0.241000	16	0.04
D1Up	1730.0	0.241600	16	0.04
D1Up	1727.5	0.242100	16	0.04
D1Up	1725.0	0.244700	16	0.04
D1Up	1722.5	0.245800	16	0.04
D1Up	1720.0	0.246300	16	0.04
D1Up	1717.5	0.246800	16	0.04
D1Up	1715.0	0.247400	16	0.04
D1Up	1712.5	0.247900	16	0.04
D1Up	1710.0	0.247900	16	0.04
D1Up	1707.5	0.248200	16	0.04
D1Up	1705.0	0.248900	16	0.04
D1Up	1702.5	0.249700	16	0.04
D1Up	1700.0	0.250000	16	0.04
D2V	1295.5	0.010167	10.3	0.04
D2V	1293.0	0.010479	10.3	0.04
D2V	1290.5	0.010792	10.3	0.04
D2V	1288.0	0.011104	10.3	0.04
D2V	1285.5	0.011416	10.3	0.04
D2V	1283.0	0.011728	10.3	0.04
D2V	1280.5	0.012040	10.3	0.04
D2V	1278.0	0.012352	10.3	0.04
D2V	1275.5	0.012664	10.3	0.04
D2V	1273.0	0.012976	10.3	0.04
D2V	1270.5	0.013288	10.3	0.04
D2V	1268.0	0.013600	10.3	0.04
D2V	1265.5	0.013912	10.3	0.04
D2V	1263.0	0.014224	10.3	0.04
D2V	1260.5	0.014536	10.3	0.04
D2V	1258.0	0.014848	10.3	0.04
D2V	1255.5	0.015160	10.3	0.04
D2V	1253.0	0.015472	10.3	0.04
D2V	1250.5	0.015784	10.3	0.04
D2V	1248.0	0.016097	10.3	0.04
D2V	1245.5	0.016409	10.3	0.04
D2V	1243.0	0.016721	10.3	0.04
D2V	1240.5	0.017033	10.3	0.04
D2V	1238.0	0.017345	10.3	0.04
D2V	1235.5	0.017657	10.3	0.04
D2V	1233.0	0.017969	10.3	0.04
D2V	1230.5	0.018281	10.3	0.04
D2V	1228.0	0.018593	10.3	0.04
D2V	1225.5	0.018905	10.3	0.04
D2V	1223.0	0.019217	10.3	0.04
D2V	1220.5	0.019529	10.3	0.04
D2V	1218.0	0.019841	10.3	0.04
D2V	1215.5	0.020153	10.3	0.04
D2V	1213.0	0.026113	10.3	0.04
D2V	1210.5	0.036321	10.3	0.04
D2V	1208.0	0.050766	10.3	0.04
